subset,condition,method,N,attain_70,attain_70_lo,attain_70_hi,K70_att_mean,K70_att_lo,K70_att_hi,K70n_att_mean,K70n_att_lo,K70n_att_hi,K70_cens_mean,K70_cens_lo,K70_cens_hi,K70n_cens_mean,K70n_cens_lo,K70n_cens_hi,attain_75,attain_75_lo,attain_75_hi,K75_att_mean,K75_att_lo,K75_att_hi,K75n_att_mean,K75n_att_lo,K75n_att_hi,K75_cens_mean,K75_cens_lo,K75_cens_hi,K75n_cens_mean,K75n_cens_lo,K75n_cens_hi,attain_90,attain_90_lo,attain_90_hi,K90_att_mean,K90_att_lo,K90_att_hi,K90n_att_mean,K90n_att_lo,K90n_att_hi,K90_cens_mean,K90_cens_lo,K90_cens_hi
ALL59,EC,ICA,202,1.0,1.0,1.0,22.88118811881188,22.321782178217823,23.50990099009901,0.39423149207627395,0.383630361904773,0.4044662561942882,58.05940594059406,57.896039603960396,58.21287128712871,1.0,1.0,1.0,1.0,1.0,1.0,24.277227722772277,23.64851485148515,24.896039603960396,0.41823893734326995,0.40761730627433623,0.4290750541918587,58.05940594059406,57.896039603960396,58.222772277227726,1.0,1.0,1.0,1.0,1.0,1.0,30.153465346534652,29.440470297029705,30.836633663366335,0.519470010297421,0.5075240350918013,0.531563068679211,58.05940594059406,57.9009900990099,58.21782178217822
ALL59,EC,LB,202,1.0,1.0,1.0,8.603960396039604,7.915717821782178,9.33180693069307,0.14852368859040352,0.1363850310873418,0.16139124763981436,58.05940594059406,57.90594059405941,58.21782178217822,1.0,1.0,1.0,1.0,1.0,1.0,10.51980198019802,9.757178217821782,11.297029702970297,0.18146034480287992,0.16800756731766764,0.1953129048336981,58.05940594059406,57.9009900990099,58.21794554455445,1.0,1.0,1.0,1.0,1.0,1.0,22.56930693069307,21.485024752475248,23.559900990099006,0.38917914584780183,0.3709200788924278,0.4082607805301809,58.05940594059406,57.896039603960396,58.21287128712871
ALL59,EC,PCA,202,1.0,1.0,1.0,19.346534653465348,18.806930693069308,19.935643564356436,0.3333391941335811,0.323781596961376,0.343469103275552,58.05940594059406,57.886138613861384,58.21299504950495,1.0,1.0,1.0,1.0,1.0,1.0,19.915841584158414,19.331559405940595,20.49009900990099,0.3431708325134106,0.333568586827554,0.3532231960052667,58.05940594059406,57.9009900990099,58.20804455445544,1.0,1.0,1.0,1.0,1.0,1.0,23.168316831683168,22.594059405940595,23.7625,0.39915073653664784,0.3889393541542614,0.40984530338036523,58.05940594059406,57.9009900990099,58.21782178217822
ALL59,EC,SPH,202,1.0,1.0,1.0,12.361386138613861,11.697896039603961,13.05940594059406,0.213173861732867,0.2009986943504139,0.2250364253884308,49.0,49.0,49.0,0.8443033422381069,0.841958252088795,0.8467991922542711,1.0,1.0,1.0,13.792079207920793,12.955445544554456,14.638613861386139,0.23784444347246983,0.22355507159292454,0.25289380888194396,49.0,49.0,49.0,0.8443033422381069,0.841939274362534,0.8467837175294991,0.9851485148514851,0.9653465346534653,1.0,25.316582914572866,23.969723618090452,26.63869346733668,0.43602403649552557,0.4134292777359117,0.4590766946462585,49.0,49.0,49.0
ALL59,EO,ICA,202,1.0,1.0,1.0,22.445544554455445,21.816831683168317,23.079331683168316,0.3866827527156244,0.3755213332681114,0.39765930865831933,58.05940594059406,57.90594059405941,58.21287128712871,1.0,1.0,1.0,1.0,1.0,1.0,24.04950495049505,23.38601485148515,24.668440594059405,0.41430047653880864,0.40303552477876103,0.42530343023324596,58.05940594059406,57.89096534653465,58.21782178217822,1.0,1.0,1.0,1.0,1.0,1.0,30.405940594059405,29.747524752475247,31.084282178217823,0.5237736921846029,0.512600758780083,0.535645769937295,58.05940594059406,57.896039603960396,58.21287128712871
ALL59,EO,LB,202,1.0,1.0,1.0,12.900990099009901,11.999752475247524,13.861509900990098,0.22232717643469468,0.2070208920053812,0.2387125847956374,58.05940594059406,57.886138613861384,58.21287128712871,1.0,1.0,1.0,1.0,1.0,1.0,15.57920792079208,14.603836633663366,16.63391089108911,0.2685102298675265,0.2520291416215201,0.28612661885440127,58.05940594059406,57.895915841584156,58.21287128712871,1.0,1.0,1.0,1.0,1.0,1.0,29.277227722772277,28.004950495049506,30.57438118811881,0.5044507949294978,0.4830391689376975,0.5263196196600155,58.05940594059406,57.90594059405941,58.21287128712871
ALL59,EO,PCA,202,1.0,1.0,1.0,19.46039603960396,18.994925742574257,19.93069306930693,0.3351982867705056,0.3271809509115255,0.3432606514011459,58.05940594059406,57.89108910891089,58.21287128712871,1.0,1.0,1.0,1.0,1.0,1.0,20.43069306930693,19.970173267326732,20.866336633663366,0.3519095144959186,0.3441725700214289,0.3599988410697987,58.05940594059406,57.90594059405941,58.21782178217822,1.0,1.0,1.0,1.0,1.0,1.0,24.153465346534652,23.673267326732674,24.658663366336633,0.41601113401015194,0.40770723189062763,0.4246698963944453,58.05940594059406,57.896039603960396,58.20792079207921
ALL59,EO,SPH,202,1.0,1.0,1.0,15.643564356435643,14.623762376237623,16.712871287128714,0.269593160644561,0.25264555048685655,0.2882400843693498,49.0,49.0,49.0,0.8443033422381069,0.8420031666099698,0.8467568565705018,1.0,1.0,1.0,18.163366336633665,16.960272277227723,19.356435643564357,0.3128950555469,0.29211701289393527,0.3335748573888334,49.0,49.0,49.0,0.8443033422381069,0.8420712686082329,0.8467165109039383,0.9603960396039604,0.9306930693069307,0.9851485148514851,31.448453608247423,29.989561855670104,32.8764175257732,0.5418985726718113,0.517416876344275,0.5663627629520959,49.0,49.0,49.0
canonical_19,EC,ICA,202,1.0,1.0,1.0,14.227722772277227,13.930693069306932,14.529826732673266,0.7665275138194934,0.7511491551631944,0.7826421005587401,18.574257425742573,18.485148514851485,18.65841584158416,1.0,1.0,1.0,1.0,1.0,1.0,14.618811881188119,14.326732673267326,14.905940594059405,0.7875539198656708,0.7715988629145424,0.8027129004502616,18.574257425742573,18.485148514851485,18.658539603960396,1.0,1.0,1.0,1.0,1.0,1.0,15.871287128712872,15.658415841584159,16.084158415841586,0.8550243182212958,0.8439096042924726,0.8664647172921627,18.574257425742573,18.480074257425745,18.663366336633665
canonical_19,EC,LB,202,1.0,1.0,1.0,6.371287128712871,6.014851485148514,6.752475247524752,0.34365367651316214,0.3229571305137479,0.3645600054877777,18.574257425742573,18.480198019801982,18.668316831683168,1.0,1.0,1.0,1.0,1.0,1.0,7.425742574257426,7.0049504950495045,7.846534653465347,0.4001563952834911,0.3778350716263576,0.4227378189637848,18.574257425742573,18.475247524752476,18.658539603960396,1.0,1.0,1.0,1.0,1.0,1.0,12.549504950495049,12.198019801980198,12.891089108910892,0.6756227286815368,0.65584989299046,0.6936966069865501,18.574257425742573,18.480198019801982,18.663366336633665
